participant_name,source_type,age,gender,student_status,region,platform_sessions_per_day,messages_sent_per_day,in_person_conversations_per_week,shared_meals_or_social_events_per_week,group_activities_per_month,trusted_contacts_count,sleep_hours,self_reported_stress_0_100,lq1,lq2,lq3,lq4,lq5,lq6,lq7,sci1,sci2,sci3,sci4,sci5,sci6,delay_immediate_choice_1,delay_immediate_choice_2,delay_immediate_choice_3,delay_immediate_choice_4,delay_immediate_choice_5,delay_immediate_choice_6,spend1,spend2,spend3,spend4,spend5,risk_choice_1,risk_choice_2,risk_choice_3,risk_choice_4,risk_choice_5,conflict_defense_1,conflict_defense_2,conflict_defense_3,conflict_defense_4,conflict_defense_5,loneliness_score,social_connection_score,immediate_reward_bias,impulsive_spending_score,high_risk_choice_score,conflict_defense_score,risk_decision_index,loneliness_group,top_quartile_risk,decision_type,created_at,data_note
Daniel Collins,synthetic_pilot,19,Female,Undergraduate,North America,4,17,5,4,2,1,5.4,84.0,3,5,4,4,5,3,4,3,4,3,3,2,1,1,0,0,0,0,1,4,3,3,2,3,0,1,1,1,1,3,5,4,3,3,75.0,41.7,33.3,50.0,80.0,65.0,53.9,High loneliness,0,Risk-seeking chooser,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Mia Zhang,synthetic_pilot,17,Male,Undergraduate,East Asia,5,30,7,2,5,1,5.4,84.1,5,5,4,4,5,2,3,2,1,3,1,3,1,1,1,0,0,0,1,3,5,5,4,4,0,0,1,0,1,4,4,4,3,4,75.0,20.8,50.0,80.0,40.0,70.0,58.0,High loneliness,0,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Grace Brooks,synthetic_pilot,19,Female,High school,Other,3,38,22,6,3,5,7.5,27.0,2,1,1,1,2,1,1,5,5,5,4,4,5,0,0,1,0,0,0,2,1,2,2,1,0,1,0,0,0,2,2,2,2,2,7.1,91.7,16.7,15.0,20.0,25.0,18.3,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Nina Murphy,synthetic_pilot,24,Male,Undergraduate,North America,10,21,19,3,2,5,6.2,31.4,2,3,2,2,2,2,2,4,5,2,3,5,5,0,1,0,0,0,0,3,1,2,1,2,0,0,0,0,0,2,2,3,2,1,28.6,75.0,16.7,20.0,0.0,25.0,14.6,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Noah Kim,synthetic_pilot,18,Male,High school,North America,11,28,16,5,4,5,8.2,43.9,2,1,2,3,2,1,3,5,4,5,4,4,5,0,0,0,0,1,1,2,1,1,1,3,0,0,1,0,1,1,1,1,1,1,25.0,87.5,33.3,15.0,40.0,0.0,25.4,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Maya Turner,synthetic_pilot,22,Male,Early career,Europe,1,19,13,4,3,4,7.7,56.3,2,3,2,2,3,2,3,4,5,5,4,3,5,1,0,0,0,0,0,2,2,1,2,2,0,0,0,0,0,3,2,2,4,4,35.7,83.3,16.7,20.0,0.0,50.0,18.3,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Liam Zhang,synthetic_pilot,21,Male,Early career,East Asia,10,38,18,5,7,5,5.7,35.6,2,3,2,2,2,3,1,5,5,5,5,4,4,1,0,0,1,0,0,1,1,1,1,2,0,0,0,0,0,1,2,1,2,1,28.6,91.7,33.3,5.0,0.0,10.0,14.4,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Kai Hassan,synthetic_pilot,17,Male,Early career,North America,12,15,7,2,2,1,5.8,30.2,3,3,4,3,4,2,3,2,1,2,2,3,2,0,1,0,1,0,0,3,3,2,5,2,1,0,0,0,0,4,4,3,3,4,53.6,25.0,33.3,50.0,20.0,65.0,38.9,Moderate loneliness,0,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Eli Turner,synthetic_pilot,17,Male,High school,North America,16,20,15,4,3,1,5.6,49.8,5,3,4,2,2,4,2,4,2,4,4,5,2,0,1,1,0,0,0,2,1,3,1,3,1,0,0,1,0,3,3,3,3,2,53.6,62.5,33.3,25.0,40.0,45.0,34.7,Moderate loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Aria Lopez,synthetic_pilot,19,Female,High school,Europe,17,14,5,0,2,0,4.3,85.7,5,5,5,5,5,5,5,5,2,4,5,3,3,1,1,1,1,0,1,5,5,5,5,5,1,0,1,0,1,5,5,5,5,5,100.0,66.7,83.3,100.0,60.0,100.0,84.2,High loneliness,1,Reward-sensitive accelerator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Jasper Rossi,synthetic_pilot,23,Female,High school,East Asia,6,26,22,7,5,5,8.5,0.5,1,1,1,1,1,2,2,4,5,4,5,5,5,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,7.1,91.7,0.0,0.0,20.0,0.0,5.0,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Miles Murphy,synthetic_pilot,17,Female,High school,Other,12,21,10,3,1,1,7.0,42.5,4,5,4,4,5,5,4,2,3,3,1,4,3,0,0,1,1,1,0,3,2,3,2,1,1,0,0,1,1,5,4,5,5,5,85.7,41.7,50.0,30.0,60.0,95.0,54.2,High loneliness,0,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Felix Ali,synthetic_pilot,17,Male,Undergraduate,East Asia,8,16,9,2,3,1,6.1,75.3,5,3,2,4,4,3,4,3,3,2,2,1,2,1,1,0,1,0,1,5,4,4,4,4,1,0,0,0,0,5,4,5,5,5,64.3,29.2,66.7,80.0,20.0,95.0,62.6,Moderate loneliness,1,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Zoe Taylor,synthetic_pilot,19,Female,High school,North America,15,16,0,1,1,0,5.5,81.9,5,5,5,3,4,5,5,1,2,2,2,3,2,1,1,1,1,0,1,4,4,5,5,5,1,1,1,1,1,5,5,5,5,4,89.3,25.0,83.3,90.0,100.0,95.0,90.9,High loneliness,1,Reward-sensitive accelerator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Noah Ibrahim,synthetic_pilot,21,Male,Undergraduate,Europe,3,23,15,10,6,5,7.3,38.1,1,1,1,1,1,1,1,5,5,5,5,5,5,0,0,0,0,0,0,1,2,1,2,1,0,0,0,0,0,1,1,1,1,1,0.0,100.0,0.0,10.0,0.0,0.0,2.5,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Ethan Singh,synthetic_pilot,18,Male,Undergraduate,East Asia,10,12,5,2,2,3,6.5,68.7,3,4,5,3,4,3,5,4,3,4,5,3,4,1,1,1,1,1,1,5,5,5,5,5,1,1,0,1,1,4,4,5,5,5,71.4,70.8,100.0,100.0,80.0,90.0,93.5,Moderate loneliness,1,Reward-sensitive accelerator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Isaac Mehta,synthetic_pilot,22,Female,Undergraduate,North America,0,12,10,6,3,4,6.2,50.4,1,2,3,2,3,2,3,4,5,5,2,5,5,1,0,0,0,0,0,5,4,4,3,4,1,1,0,0,1,1,1,1,1,1,32.1,83.3,16.7,75.0,60.0,0.0,39.6,Low loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Nina Wang,synthetic_pilot,19,Male,High school,Other,12,13,2,3,4,0,4.6,82.7,3,3,4,5,5,4,4,3,2,4,3,2,3,1,0,0,1,1,1,3,3,3,2,3,0,0,0,0,1,2,2,4,3,2,75.0,45.8,66.7,45.0,20.0,40.0,45.6,High loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Liam Kim,synthetic_pilot,21,Female,High school,East Asia,2,17,5,3,4,3,5.3,32.9,3,3,3,3,3,3,2,1,3,4,3,3,4,0,0,0,0,0,1,4,1,4,2,1,0,0,0,0,0,3,3,3,4,4,46.4,50.0,16.7,35.0,0.0,60.0,23.6,Low loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Felix Gray,synthetic_pilot,24,Male,Undergraduate,North America,5,25,13,2,2,2,6.5,54.6,3,3,2,1,2,2,2,4,4,2,2,2,4,0,0,0,1,0,0,1,3,1,2,4,0,0,0,0,1,3,2,3,3,4,28.6,50.0,16.7,30.0,20.0,50.0,25.8,Low loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Clara Taylor,synthetic_pilot,19,Male,High school,East Asia,10,5,2,3,0,0,5.7,78.5,5,5,5,5,4,5,3,2,3,1,2,3,1,1,0,1,1,0,0,3,2,4,3,3,1,1,0,0,0,5,5,5,5,5,89.3,25.0,50.0,50.0,40.0,100.0,55.0,High loneliness,0,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Vivian Santos,synthetic_pilot,18,Male,Gap year,Europe,9,18,6,1,0,1,6.4,26.1,4,5,5,5,4,4,4,2,3,2,2,2,4,1,0,1,1,1,0,3,4,3,4,3,1,0,0,1,0,5,4,4,4,2,85.7,37.5,66.7,60.0,40.0,70.0,58.8,High loneliness,0,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Ethan Khan,synthetic_pilot,20,Male,Undergraduate,North America,10,16,0,1,4,0,6.5,63.2,3,4,5,3,4,2,3,2,3,4,3,2,1,0,1,1,0,1,1,4,5,4,3,4,0,0,1,0,1,4,3,5,3,5,60.7,37.5,66.7,75.0,40.0,75.0,63.3,Moderate loneliness,1,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Chloe Hassan,synthetic_pilot,23,Female,Undergraduate,North America,12,11,18,4,4,3,6.8,47.1,4,3,2,4,3,3,5,4,2,3,3,3,4,1,1,0,1,0,0,4,3,5,2,3,0,1,1,0,1,5,3,3,4,5,60.7,54.2,50.0,60.0,60.0,75.0,58.8,Moderate loneliness,0,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Owen Wang,synthetic_pilot,16,Male,High school,East Asia,0,26,21,5,1,6,5.5,13.1,2,2,2,2,2,1,2,5,4,4,4,4,4,0,0,0,0,0,0,1,1,2,2,2,0,1,0,0,0,3,2,2,3,3,21.4,79.2,0.0,15.0,20.0,40.0,14.8,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Ella Carter,synthetic_pilot,18,Female,Undergraduate,North America,10,36,10,2,1,3,7.1,25.4,1,1,1,1,1,1,2,4,3,4,3,3,4,0,1,0,0,0,0,1,1,1,1,2,0,0,0,0,0,2,3,3,2,1,3.6,62.5,16.7,5.0,0.0,30.0,11.6,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Mia Evans,synthetic_pilot,19,Female,Early career,East Asia,7,19,12,7,4,3,6.1,75.9,3,4,2,3,2,4,2,4,4,5,4,3,4,0,0,0,1,1,0,4,4,4,4,4,0,1,0,1,0,4,2,3,3,3,46.4,75.0,33.3,75.0,40.0,50.0,47.9,Low loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Nina Bennett,synthetic_pilot,18,Female,Early career,North America,12,2,5,2,4,0,5.6,79.9,5,5,5,5,5,5,5,3,1,1,2,3,3,1,1,1,1,1,1,4,5,4,5,5,1,1,0,1,1,5,5,5,5,4,100.0,29.2,100.0,90.0,80.0,95.0,91.8,High loneliness,1,Reward-sensitive accelerator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Mia Brooks,synthetic_pilot,21,Female,High school,North America,4,0,13,3,1,2,5.8,67.9,3,4,2,3,4,4,2,4,3,1,4,2,2,1,1,0,0,0,1,3,2,2,3,3,1,1,1,0,1,5,3,4,4,3,53.6,41.7,50.0,40.0,80.0,70.0,58.0,Moderate loneliness,0,Risk-seeking chooser,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Vivian Reed,synthetic_pilot,17,Female,High school,North America,13,18,13,4,3,3,7.6,36.3,4,3,5,3,4,3,2,3,4,4,3,4,2,0,0,1,0,0,1,5,2,4,2,3,1,0,1,0,0,2,4,3,2,2,60.7,58.3,33.3,55.0,40.0,40.0,41.4,Moderate loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Julian Ibrahim,synthetic_pilot,18,Female,Undergraduate,Other,8,23,11,4,3,2,5.5,37.3,1,4,4,3,4,4,3,5,4,4,5,5,2,1,1,1,1,0,0,3,3,3,2,4,0,1,0,0,1,2,2,2,3,3,57.1,79.2,66.7,50.0,40.0,35.0,51.1,Moderate loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Isaac Foster,synthetic_pilot,19,Male,Undergraduate,North America,5,32,13,7,4,1,6.5,30.6,2,2,1,3,2,1,2,4,4,4,5,4,4,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,1,2,3,2,3,21.4,79.2,0.0,10.0,0.0,30.0,7.0,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Vivian Foster,synthetic_pilot,18,Female,High school,East Asia,12,5,0,0,1,2,4.9,59.9,5,5,4,5,3,4,4,1,3,2,2,2,1,1,0,1,0,1,1,4,4,5,5,4,1,0,1,0,1,4,4,5,5,5,82.1,20.8,66.7,85.0,60.0,90.0,73.1,High loneliness,1,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Leah Chen,synthetic_pilot,19,Female,Undergraduate,Europe,8,24,2,2,3,1,5.8,65.3,4,5,2,4,3,3,3,3,3,2,2,4,3,1,1,1,1,1,1,3,3,5,4,3,0,0,0,0,1,3,5,5,4,5,60.7,45.8,100.0,65.0,20.0,85.0,69.0,Moderate loneliness,1,Reward-sensitive accelerator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Liam Hughes,synthetic_pilot,21,Female,Undergraduate,Europe,12,23,8,3,2,2,7.4,44.6,3,3,2,4,5,5,4,5,4,3,5,3,2,0,0,0,0,0,0,2,2,5,4,2,0,0,0,1,0,4,4,4,3,4,67.9,66.7,0.0,50.0,20.0,70.0,28.0,Moderate loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Daniel Singh,synthetic_pilot,24,Male,Undergraduate,East Asia,1,23,10,4,3,4,6.2,55.9,3,2,2,2,1,3,3,3,4,5,3,2,3,1,0,0,0,0,0,2,4,2,5,3,0,1,1,0,1,3,4,3,2,4,32.1,58.3,16.7,55.0,60.0,55.0,42.8,Low loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Luna Lopez,synthetic_pilot,19,Male,Gap year,East Asia,9,18,0,7,5,3,8.3,22.8,4,2,4,5,4,3,2,5,4,4,3,4,5,0,0,1,0,1,1,3,4,3,2,3,0,0,0,1,1,2,3,2,2,2,60.7,79.2,50.0,50.0,40.0,30.0,44.5,Moderate loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Lucas Murphy,synthetic_pilot,21,Male,High school,East Asia,4,25,17,2,3,3,5.7,48.7,4,3,4,3,2,3,3,4,4,5,3,5,4,0,0,0,0,0,0,3,3,3,3,3,0,1,0,1,0,2,2,2,3,2,53.6,79.2,0.0,50.0,40.0,30.0,27.0,Moderate loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Iris Patel,synthetic_pilot,21,Female,High school,East Asia,9,17,7,4,2,2,5.7,48.2,3,3,4,3,4,2,4,3,3,4,3,4,4,1,1,1,1,0,0,2,3,3,2,3,1,0,0,1,0,5,3,4,4,3,57.1,62.5,66.7,40.0,40.0,70.0,53.8,Moderate loneliness,0,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Eli Evans,synthetic_pilot,17,Female,Gap year,East Asia,6,30,9,1,4,1,5.2,64.4,5,5,4,4,4,5,5,2,4,3,2,3,3,1,1,1,0,0,0,3,3,3,4,5,1,1,0,0,1,4,5,3,4,4,89.3,45.8,50.0,65.0,60.0,75.0,60.0,High loneliness,0,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Julian Torres,synthetic_pilot,17,Female,Early career,Europe,8,14,17,1,0,1,7.2,25.7,3,1,1,2,1,2,2,2,4,3,3,2,1,1,1,1,0,0,1,1,2,2,2,2,0,1,0,0,0,2,2,1,2,1,17.9,37.5,66.7,20.0,20.0,15.0,35.6,Low loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Leah Bennett,synthetic_pilot,18,Female,High school,North America,10,24,4,6,5,4,6.8,0.0,3,3,3,3,3,2,3,3,4,4,3,2,4,0,0,1,1,1,0,2,1,2,2,2,0,0,0,0,1,2,2,2,1,2,46.4,58.3,50.0,20.0,20.0,20.0,30.5,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Aria Garcia,synthetic_pilot,18,Male,Undergraduate,North America,7,0,3,0,2,2,6.2,40.6,5,5,4,3,4,4,4,2,3,2,2,1,1,1,0,1,0,1,0,4,5,5,3,4,1,1,1,0,1,3,4,3,2,4,78.6,20.8,50.0,80.0,80.0,55.0,65.8,High loneliness,1,Risk-seeking chooser,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Theo Ibrahim,synthetic_pilot,18,Female,Undergraduate,Other,8,24,9,2,0,1,5.6,65.1,5,4,5,5,5,5,5,2,4,3,4,3,2,0,0,1,1,0,1,5,5,5,5,5,0,0,1,0,1,3,4,3,4,5,96.4,50.0,50.0,100.0,40.0,70.0,63.0,High loneliness,1,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Daniel Lin,synthetic_pilot,21,Female,High school,Europe,18,9,0,0,0,0,5.8,28.8,3,5,5,5,5,3,5,1,2,1,1,2,2,0,0,1,0,1,1,4,4,4,5,5,0,1,1,1,1,4,5,4,5,4,85.7,12.5,50.0,85.0,80.0,85.0,71.5,High loneliness,1,Risk-seeking chooser,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Liam Wang,synthetic_pilot,17,Female,Gap year,North America,6,33,15,10,5,3,6.1,52.5,1,2,3,2,2,3,4,5,5,4,5,5,5,0,0,0,0,0,0,3,3,4,4,4,1,0,0,1,0,2,3,2,1,1,35.7,95.8,0.0,65.0,40.0,20.0,29.2,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Owen Hassan,synthetic_pilot,20,Female,High school,North America,0,15,10,3,1,3,5.0,68.9,4,2,4,4,3,4,4,4,4,3,2,5,3,0,0,1,1,1,0,4,2,3,4,3,0,0,0,0,1,3,4,4,3,3,64.3,62.5,50.0,55.0,20.0,60.0,45.2,Moderate loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Felix Reed,synthetic_pilot,20,Female,Undergraduate,East Asia,10,10,8,0,0,2,4.5,48.9,4,3,2,3,3,4,4,3,3,2,3,2,1,1,1,0,1,1,0,3,3,5,3,3,0,0,1,1,0,3,4,4,2,2,57.1,33.3,66.7,60.0,40.0,50.0,55.8,Moderate loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Eli Young,synthetic_pilot,17,Male,Early career,North America,8,17,16,5,4,3,6.3,42.6,2,2,2,4,2,3,2,4,4,3,5,2,4,1,0,0,0,0,0,5,4,3,4,3,0,1,0,1,0,4,3,3,3,4,35.7,66.7,16.7,70.0,40.0,60.0,42.3,Low loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Leo Reed,synthetic_pilot,20,Male,High school,East Asia,7,14,17,1,1,2,5.6,50.9,3,4,3,2,3,3,2,4,3,4,2,4,3,1,0,1,0,0,1,4,4,5,4,3,0,0,0,0,1,2,3,3,5,4,46.4,58.3,50.0,75.0,20.0,60.0,50.2,Low loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Amelia Collins,synthetic_pilot,20,Male,Undergraduate,Europe,15,11,9,3,2,2,6.1,53.4,3,4,3,3,5,4,3,3,3,3,5,4,2,0,1,1,0,1,1,3,2,3,3,2,1,0,0,1,1,5,4,5,5,4,64.3,58.3,66.7,40.0,60.0,90.0,61.8,Moderate loneliness,0,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Felix Carter,synthetic_pilot,16,Male,High school,East Asia,4,17,10,5,1,4,6.7,10.2,3,1,2,1,1,1,1,3,3,3,2,2,4,0,0,0,0,0,0,2,2,2,2,2,0,1,0,0,0,2,1,2,1,1,10.7,45.8,0.0,25.0,20.0,10.0,12.8,Low loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Owen Morgan,synthetic_pilot,18,Female,High school,East Asia,10,22,0,2,3,3,6.0,33.7,2,4,5,4,5,3,4,3,2,3,4,2,3,0,1,0,1,1,0,2,2,2,3,3,1,1,0,0,0,3,4,3,3,4,71.4,45.8,50.0,35.0,40.0,60.0,45.2,Moderate loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Liam Murphy,synthetic_pilot,20,Female,High school,North America,7,20,15,4,2,4,6.9,40.1,3,1,3,1,1,3,3,5,5,4,5,5,5,0,1,0,0,0,0,2,2,3,3,3,0,0,1,1,0,2,1,1,1,2,28.6,95.8,16.7,40.0,40.0,10.0,27.3,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Caleb Evans,synthetic_pilot,18,Female,Undergraduate,North America,3,26,12,7,3,4,6.8,66.8,2,3,3,2,2,2,2,4,5,4,3,4,5,0,1,0,0,0,0,3,3,3,3,2,0,0,0,0,0,1,3,3,3,3,32.1,79.2,16.7,45.0,0.0,40.0,23.1,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Grace Nguyen,synthetic_pilot,20,Female,High school,Europe,10,2,11,0,0,0,5.6,40.3,5,4,4,5,5,5,4,2,1,1,4,2,2,0,1,1,0,1,0,4,4,4,4,5,1,0,0,1,0,4,3,5,4,5,89.3,25.0,50.0,80.0,40.0,80.0,59.5,High loneliness,0,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Vivian Nguyen,synthetic_pilot,20,Female,High school,North America,0,37,18,6,5,5,7.5,0.0,1,1,1,1,1,1,1,4,5,5,4,5,5,0,0,0,0,0,0,1,2,1,1,1,1,0,1,0,0,1,1,3,2,2,0.0,91.7,0.0,5.0,40.0,20.0,14.2,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Leah Wilson,synthetic_pilot,16,Female,Undergraduate,North America,20,0,8,1,1,0,4.3,90.3,5,5,5,5,5,5,5,3,3,3,4,2,4,1,1,1,1,1,1,5,5,4,5,4,0,1,1,0,1,4,4,4,5,5,100.0,54.2,100.0,90.0,60.0,85.0,85.2,High loneliness,1,Reward-sensitive accelerator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Naomi Taylor,synthetic_pilot,21,Male,Early career,East Asia,5,20,8,4,2,2,7.8,18.5,3,3,4,3,4,3,2,3,3,4,3,3,4,0,0,0,0,0,1,5,3,5,4,4,1,0,1,0,0,3,1,2,4,3,53.6,58.3,16.7,80.0,40.0,40.0,41.8,Moderate loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Naomi Park,synthetic_pilot,17,Male,High school,Other,2,17,7,2,7,3,7.2,9.3,2,2,2,2,2,3,2,5,4,5,2,4,5,0,0,0,0,0,0,1,2,2,3,2,0,1,0,0,0,2,2,2,1,2,28.6,79.2,0.0,25.0,20.0,20.0,14.2,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Nora Murphy,synthetic_pilot,19,Female,Undergraduate,East Asia,13,26,12,1,5,2,8.0,64.5,2,3,4,4,3,4,3,3,4,3,4,4,4,0,1,0,0,0,1,3,3,5,3,5,1,1,1,1,1,5,5,5,4,4,57.1,66.7,33.3,70.0,100.0,90.0,67.7,Moderate loneliness,1,Risk-seeking chooser,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Noah Garcia,synthetic_pilot,18,Male,High school,Other,5,32,18,7,4,3,8.2,7.7,3,2,2,2,3,1,2,5,4,4,5,4,3,0,0,0,0,0,0,3,4,4,4,4,0,1,0,0,0,2,2,3,2,2,28.6,79.2,0.0,70.0,20.0,30.0,27.0,Low loneliness,0,Social-buffered deliberator,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Miles Hughes,synthetic_pilot,23,Female,High school,North America,4,20,8,3,1,1,5.6,41.7,1,3,3,4,3,2,3,4,4,2,2,2,3,0,0,1,0,0,1,2,5,5,3,4,0,0,0,0,1,2,2,3,3,2,42.9,45.8,33.3,70.0,20.0,35.0,39.4,Low loneliness,0,Balanced decision-maker,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Ruby Martinez,synthetic_pilot,19,Male,High school,North America,6,20,12,2,2,2,4.8,65.3,5,4,3,4,4,4,3,4,2,3,2,5,3,0,0,0,1,0,0,4,5,3,4,5,1,0,0,0,1,3,4,4,4,3,71.4,54.2,16.7,80.0,40.0,65.0,45.6,Moderate loneliness,0,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
Ryan Lin,synthetic_pilot,19,Female,Early career,North America,9,13,12,2,1,1,7.7,34.7,3,4,4,3,3,3,5,2,3,4,3,3,3,0,0,0,0,0,0,4,3,3,4,3,0,0,0,0,1,4,4,5,3,4,64.3,50.0,0.0,60.0,20.0,75.0,31.2,Moderate loneliness,0,Conflict-defensive responder,2026-07-01T12:59:08.228354+00:00,Synthetic pilot row generated for reproducible demonstration.
